symbol,probability,prob_raw,composite_score,verdict,combined_verdict,price,rsi,adx,volume_ratio,return_24h,return_72h,scanned_at,flow_score,flow_signal,taker_buy_ratio,whale_net
WLD,87.66,0.8766,0.8596,STRONG BUY,STRONG BUY,0.5373,45.15,28.32,0.188,-6.99,-11.56,2026-06-24T13:07:43.683105+00:00,,,,
EPIC,94.13,0.9413,0.8552,STRONG BUY,STRONG BUY,0.412,21.78,30.06,0.311,-8.04,-14.17,2026-06-24T13:07:50.048779+00:00,,,,
BABY,86.86,0.8686,0.8552,STRONG BUY,STRONG BUY,0.01267,34.66,31.05,0.194,-4.81,-11.21,2026-06-24T13:07:50.848147+00:00,,,,
SAHARA,79.34,0.7934,0.8364,BUY,BUY,0.01314,56.75,58.12,0.109,14.96,-0.76,2026-06-24T13:07:52.598134+00:00,,,,
DUSK,71.87,0.7187,0.8228,BUY,BUY,0.0812,48.03,27.36,2.371,0.25,-4.69,2026-06-24T13:07:31.177893+00:00,,,,
GENIUS,85.85,0.8585,0.8197,STRONG BUY,STRONG BUY,0.3859,45.64,20.28,0.39,2.85,-6.49,2026-06-24T13:07:57.580263+00:00,,,,
ZRO,92.39,0.9239,0.8182,STRONG BUY,STRONG BUY,0.934,47.05,11.51,0.149,-2.1,1.19,2026-06-24T13:07:46.903481+00:00,,,,
JTO,79.59,0.7959,0.8153,BUY,BUY,0.6826,57.18,25.23,0.224,7.09,-2.04,2026-06-24T13:07:44.739038+00:00,,,,
SCR,84.98,0.8498,0.8149,BUY,BUY,0.03163,57.55,24.77,0.224,-2.44,-1.16,2026-06-24T13:07:47.713526+00:00,,,,
STO,84.66,0.8466,0.8131,BUY,BUY,0.0469,34.8,17.46,0.518,-3.7,-0.64,2026-06-24T13:07:51.532874+00:00,,,,
PORTAL,83.1,0.831,0.8046,BUY,BUY,0.01401,35.21,16.72,0.573,-3.91,-7.16,2026-06-24T13:07:45.814477+00:00,,,,
SPCXB,77.45,0.7745,0.8035,BUY,BUY,152.64,37.3,25.29,0.445,-1.92,-15.23,2026-06-24T13:07:58.092769+00:00,,,,
STG,77.04,0.7704,0.8012,BUY,BUY,0.1725,30.47,29.56,0.56,-8.92,-15.77,2026-06-24T13:07:41.955284+00:00,,,,
JOE,80.29,0.8029,0.7891,BUY,BUY,0.0295,34.41,22.97,0.121,-2.64,-8.67,2026-06-24T13:07:40.583306+00:00,,,,
SOMI,80.09,0.8009,0.788,BUY,BUY,0.1022,45.82,23.86,0.189,0.1,-6.92,2026-06-24T13:07:53.481912+00:00,,,,
PIVX,79.52,0.7952,0.7849,BUY,BUY,0.0369,40.92,17.29,0.747,0.0,-16.14,2026-06-24T13:07:44.277732+00:00,,,,
RIF,85.83,0.8583,0.782,STRONG BUY,STRONG BUY,0.0793,40.23,14.69,0.053,-7.58,-7.03,2026-06-24T13:07:36.522419+00:00,,,,
SAGA,78.59,0.7859,0.7797,BUY,BUY,0.01383,35.3,22.32,0.205,-6.36,-13.62,2026-06-24T13:07:46.380220+00:00,,,,
BCH,78.56,0.7856,0.7796,BUY,BUY,192.8,44.79,17.47,0.046,0.52,-2.92,2026-06-24T13:07:32.249768+00:00,,,,
DASH,78.52,0.7852,0.7794,BUY,BUY,35.54,48.22,17.22,0.04,2.04,-2.6,2026-06-24T13:07:30.631764+00:00,,,,
ENJ,73.01,0.7301,0.7791,BUY,BUY,0.03145,52.97,29.29,0.073,1.03,-8.04,2026-06-24T13:07:30.797637+00:00,,,,
CHIP,85.48,0.8548,0.7776,STRONG BUY,STRONG BUY,0.03083,25.0,16.32,0.504,-6.15,-12.41,2026-06-24T13:07:57.356714+00:00,,,,
SXT,78.48,0.7848,0.7766,BUY,BUY,0.00745,41.35,11.29,1.704,-0.67,-4.97,2026-06-24T13:07:51.680090+00:00,,,,
LUMIA,84.42,0.8442,0.7743,BUY,BUY,0.1221,43.65,14.78,0.173,2.09,12.12,2026-06-24T13:07:47.839629+00:00,,,,
EUL,77.35,0.7735,0.7729,BUY,BUY,1.003,40.29,18.59,0.511,-3.09,-3.65,2026-06-24T13:07:55.051844+00:00,,,,
HOME,77.33,0.7733,0.7728,BUY,BUY,0.02012,40.71,24.93,0.047,-2.99,-1.42,2026-06-24T13:07:52.369096+00:00,,,,
2Z,76.93,0.7693,0.7706,BUY,BUY,0.06682,32.48,22.91,0.237,-5.33,-11.1,2026-06-24T13:07:54.749820+00:00,,,,
GNO,83.36,0.8336,0.7685,BUY,BUY,105.51,45.21,11.47,0.394,-0.57,-3.24,2026-06-24T13:07:38.819538+00:00,,,,
